T,score 1,score 2,score 3,score 4,score 5,score 6,score 7,score 8,score 9,score 10,score 11,score 12,score 13,score 14,score 15,score 16,score 17,score 18,score 19,score 20
1,3,Failed to parse score.,3,3,3,3,3,Failed to parse score.,Failed to parse score.,3,3,3,Failed to parse score.,3,Failed to parse score.,3,3,Failed to parse score.,3,Failed to parse score.
4,3,2,3,2,2,3,Failed to parse score.,Failed to parse score.,Failed to parse score.,3,3,3,3,3,3,3,3,3,Failed to parse score.,Failed to parse score.
6,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.
9,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.
10,2,Failed to parse score.,Failed to parse score.,2,Failed to parse score.,Failed to parse score.,2,Failed to parse score.,Failed to parse score.,2,Failed to parse score.,Failed to parse score.,2,2,Failed to parse score.,2,2,Failed to parse score.,Failed to parse score.,Failed to parse score.
11,3,3,3,3,3,3,3,Failed to parse score.,3,3,Failed to parse score.,3,3,3,3,3,3,Failed to parse score.,3,Failed to parse score.
14,2,Failed to parse score.,2,2,2,Failed to parse score.,2,2,2,Failed to parse score.,2,2,2,2,Failed to parse score.,2,2,2,2,2
16,3,3,3,Failed to parse score.,3,Failed to parse score.,3,3,3,3,Failed to parse score.,3,Failed to parse score.,3,3,3,3,Failed to parse score.,Failed to parse score.,3
19,4,4,4,Failed to parse score.,4,Failed to parse score.,4,4,Failed to parse score.,4,4,4,3,Failed to parse score.,4,3,4,Failed to parse score.,Failed to parse score.,3
20,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.,Failed to parse score.
