T,score 1,score 2,score 3,score 4,score 5,score 6,score 7,score 8,score 9,score 10
1,3,4,4,3,3,4,3,4,3,4
2,3,3,3,3,3,3,3,3,3,3
3,3,4,4,3,3,3,3,3,4,3
4,3,4,3,3,3,4,4,3,3,3
5,3,3,3,3,3,3,3,3,3,3
6,1,1,1,1,1,1,1,1,1,1
7,2,3,2,2,3,2,2,2,2,2
8,2,2,2,2,1,2,2,2,2,1
9,2,2,1,2,3,1,1,1,1,2
10,1,1,1,1,1,1,1,1,1,1
11,2,3,2,3,3,3,3,3,3,3
12,1,1,1,1,1,1,1,1,1,1
13,2,3,2,2,2,2,3,3,2,2
14,2,2,1,2,2,2,2,2,2,1
15,2,2,2,2,2,2,2,2,2,1
16,4,4,4,3,4,3,3,4,4,3
17,1,1,1,1,2,2,1,1,1,1
18,2,2,2,2,1,1,1,1,2,1
19,5,5,5,5,5,5,5,5,5,5
20,2,2,2,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2,2,2,2
