StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.2_6,Q3.3,Q3.4,Q3.5_First Click,Q3.5_Last Click,Q3.5_Page Submit,Q3.5_Click Count,Q3.6,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.2_6,Q4.3,Q4.4,Q4.5_First Click,Q4.5_Last Click,Q4.5_Page Submit,Q4.5_Click Count,Q3.6,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.2_5,Q5.2_6,Q5.3,Q5.4,Q5.5_First Click,Q5.5_Last Click,Q5.5_Page Submit,Q5.5_Click Count,Q3.6,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.2_5,Q6.2_6,Q6.3,Q6.4,Q6.5_First Click,Q6.5_Last Click,Q6.5_Page Submit,Q6.5_Click Count,Q3.6,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.2_5,Q7.2_6,Q7.3,Q7.4,Q7.5_First Click,Q7.5_Last Click,Q7.5_Page Submit,Q7.5_Click Count,Q3.6,Q8.2_1,Q8.2_2,Q8.2_3,Q8.2_4,Q8.2_5,Q8.2_6,Q8.3,Q8.4,Q8.5_First Click,Q8.5_Last Click,Q8.5_Page Submit,Q8.5_Click Count,Q3.6,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q9.3,Q9.4,Q9.5_First Click,Q9.5_Last Click,Q9.5_Page Submit,Q9.5_Click Count,Q3.6,texts_evaluated,T1,T2,T3,T4,T5,T6,T7,T8,T9,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Please Indicate if you are a student or a working professional,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text is repetetive,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text includes irrelevant information,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of filler words and phrases,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of overly complex words,"Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of transition words ('however, 'therefore', ...)",Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - This text does provide concise information (e.g. uses exact numbers),Please provide an overall fluff score for this text.,Give a short reason for your fluff score,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you available to evaluate another text? You have currently completed [Field-texts_evaluated] evaluations.,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text is repetetive,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text includes irrelevant information,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of filler words and phrases,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of overly complex words,"Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of transition words ('however, 'therefore', ...)",Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - This text does provide concise information (e.g. uses exact numbers),Please provide an overall fluff score for this text.,Give a short reason for your fluff score,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you available to evaluate another text? You have currently completed [Field-texts_evaluated] evaluations.,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text is repetetive,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text includes irrelevant information,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of filler words and phrases,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of overly complex words,"Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of transition words ('however, 'therefore', ...)",Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - This text does provide concise information (e.g. uses exact numbers),Please provide an overall fluff score for this text.,Give a short reason for your fluff score,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you available to evaluate another text? You have currently completed [Field-texts_evaluated] evaluations.,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text is repetetive,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text includes irrelevant information,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of filler words and phrases,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of overly complex words,"Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of transition words ('however, 'therefore', ...)",Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - This text does provide concise information (e.g. uses exact numbers),Please provide an overall fluff score for this text.,Give a short reason for your fluff score,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you available to evaluate another text? You have currently completed [Field-texts_evaluated] evaluations.,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text is repetetive,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text includes irrelevant information,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of filler words and phrases,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of overly complex words,"Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of transition words ('however, 'therefore', ...)",Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - This text does provide concise information (e.g. uses exact numbers),Please provide an overall fluff score for this text.,Give a short reason for your fluff score,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you available to evaluate another text? You have currently completed [Field-texts_evaluated] evaluations.,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text is repetetive,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text includes irrelevant information,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of filler words and phrases,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of overly complex words,"Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of transition words ('however, 'therefore', ...)",Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - This text does provide concise information (e.g. uses exact numbers),Please provide an overall fluff score for this text.,Give a short reason for your fluff score,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you available to evaluate another text? You have currently completed [Field-texts_evaluated] evaluations.,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text is repetetive,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text includes irrelevant information,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of filler words and phrases,Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of overly complex words,"Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - The text makes excessive use of transition words ('however, 'therefore', ...)",Please indicate to what extend the shown text entails the following characteristics of fluffy texts. Your answers should function as a guide for your final fluff scoring. - This text does provide concise information (e.g. uses exact numbers),Please provide an overall fluff score for this text.,Give a short reason for your fluff score,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you available to evaluate another text? You have currently completed [Field-texts_evaluated] evaluations.,texts_evaluated,T1,T2,T3,T4,T5,T6,T7,T8,T9,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID92""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID67_3""}","{""ImportId"":""QID67_4""}","{""ImportId"":""QID67_5""}","{""ImportId"":""QID67_6""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}","{""ImportId"":""QID178""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_3""}","{""ImportId"":""QID72_4""}","{""ImportId"":""QID72_5""}","{""ImportId"":""QID72_6""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}","{""ImportId"":""QID182""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID79_2""}","{""ImportId"":""QID79_3""}","{""ImportId"":""QID79_4""}","{""ImportId"":""QID79_5""}","{""ImportId"":""QID79_6""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID82_FIRST_CLICK""}","{""ImportId"":""QID82_LAST_CLICK""}","{""ImportId"":""QID82_PAGE_SUBMIT""}","{""ImportId"":""QID82_CLICK_COUNT""}","{""ImportId"":""QID184""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID87_2""}","{""ImportId"":""QID87_3""}","{""ImportId"":""QID87_4""}","{""ImportId"":""QID87_5""}","{""ImportId"":""QID87_6""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID90_FIRST_CLICK""}","{""ImportId"":""QID90_LAST_CLICK""}","{""ImportId"":""QID90_PAGE_SUBMIT""}","{""ImportId"":""QID90_CLICK_COUNT""}","{""ImportId"":""QID185""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID94_2""}","{""ImportId"":""QID94_3""}","{""ImportId"":""QID94_4""}","{""ImportId"":""QID94_5""}","{""ImportId"":""QID94_6""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID97_FIRST_CLICK""}","{""ImportId"":""QID97_LAST_CLICK""}","{""ImportId"":""QID97_PAGE_SUBMIT""}","{""ImportId"":""QID97_CLICK_COUNT""}","{""ImportId"":""QID186""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID99_2""}","{""ImportId"":""QID99_3""}","{""ImportId"":""QID99_4""}","{""ImportId"":""QID99_5""}","{""ImportId"":""QID99_6""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101_TEXT""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID187""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID104_2""}","{""ImportId"":""QID104_3""}","{""ImportId"":""QID104_4""}","{""ImportId"":""QID104_5""}","{""ImportId"":""QID104_6""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106_TEXT""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID188""}","{""ImportId"":""texts_evaluated""}","{""ImportId"":""T1""}","{""ImportId"":""T2""}","{""ImportId"":""T3""}","{""ImportId"":""T4""}","{""ImportId"":""T5""}","{""ImportId"":""T6""}","{""ImportId"":""T7""}","{""ImportId"":""T8""}","{""ImportId"":""T9""}","{""ImportId"":""Q_AmbiguousTextPresent""}","{""ImportId"":""Q_AmbiguousTextQuestions""}","{""ImportId"":""Q_StraightliningCount""}","{""ImportId"":""Q_StraightliningPercentage""}","{""ImportId"":""Q_StraightliningQuestions""}","{""ImportId"":""Q_UnansweredPercentage""}","{""ImportId"":""Q_UnansweredQuestions""}"
2024-05-20 08:30:37,2024-05-20 08:49:35,0,104.28.129.23,100,1137,1,2024-05-20 08:49:35,R_8iIOf9RamJjjsQ2,,,,,52.5196,13.4069,anonymous,EN,0.8999999761581421,1,4,4,5,2,1,5,4,Avoids exact numbers a d is wordy,0.565,187.672,188.673,60,,4,4,4,2,1,4,4,The text is repetitive and somewhat wordy,1.983,250.674,252.087,42,,4,4,2,3,1,4,3,Avoids exact numbers,1.806,203.369,204.282,58,,3,5,4,2,1,4,4,Very wordy and including unnecessary information,1.207,118.244,119.575,33,,2,1,3,2,2,2,2,Good concise text,0.876,292.026,293.159,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,
2024-05-21 14:00:38,2024-05-21 15:15:23,0,92.109.117.102,100,4485,1,2024-05-21 15:15:24,R_8VlGmI5zgDHNcVv,,,,,51.9399,4.4712,anonymous,EN,1,1,4,5,4,4,1,1,4,There is a lot of unnecessary wording to describe the product.,76.787,132.242,134.365,13,,2,1,2,1,1,4,2,"The message is straightforward. However, as it is an advertisement, the sentences have been enhanced instead of going straight to the point. ",107.705,316.425,317.679,15,,2,3,2,2,1,4,3,"They mention things that are not highly relevant for the product. However, the first paragraph is unnecessary in my opinion.",10.368,173.188,194.667,15,,1,5,4,1,1,2,3,It is irrelevant to know who designed the product to market it.,47.968,122.676,146.685,14,,4,3,2,3,2,2,4,"There is a lot of repetition in the text and it is not very straightforward.  Moreover, it is irrelevant to the reader how they are going to make this transition (unnecessary information with use of technical words).",72.38,352.002,361.685,18,,3,1,4,2,1,5,1,"This recipe is very straightforward.  ",164.047,378.709,389.395,19,,4,4,5,5,1,5,5,There is too much information that is not necessary to market the product.,594.331,632.823,659.003,8,,,,,,,,,,,,0,,1,0.1,QID114,0.06451612903225806,"QID111,QID116"
2024-05-21 17:56:48,2024-05-21 18:27:47,0,185.104.138.47,100,1859,1,2024-05-21 18:27:48,R_2SshTS8mO4ohduh,,,,,48.1418,11.5642,anonymous,EN,0.8999999761581421,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0.3157894736842105,"QID136,QID146,QID121,QID131,QID126,QID141"
2024-05-21 22:14:25,2024-05-21 22:19:28,0,31.151.125.154,100,302,1,2024-05-21 22:19:28,R_26fQGM8FSWoTkjf,,,,,51.9605,4.5101,anonymous,EN,1,2,4,5,4,5,3,2,4,,14.332,38.348,38.763,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,4,2,1,4,Lots of adjectives and corporate lingo,3.729,61.451,68.394,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0.2631578947368421,"QID151,QID121,QID116,QID156,QID69"
2024-05-22 08:02:29,2024-05-22 08:22:31,0,104.28.54.87,100,1201,1,2024-05-22 08:22:31,R_2Kr3pC2Sebds7bf,,,,,52.0758,4.2925,anonymous,EN,0.8999999761581421,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0.05263157894736842,QID161
2024-05-22 10:06:36,2024-05-22 10:16:25,0,62.195.93.17,100,589,1,2024-05-22 10:16:26,R_82t2e2GNjak8tgS,,,,,51.9617,4.5476,anonymous,EN,0.8999999761581421,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,3,"While this text presents the issue at hand in regards to energy transition, it doesn’t give any concise information or numbers ",0.79,76.226,98.347,38,,2,2,4,1,2,5,2,"It is mostly describing the necessary steps, focusing on the ingredients that are used ",3.418,121.477,141.473,43,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0.16666666666666666,QID114,0,
2024-05-22 15:28:30,2024-05-22 15:40:12,0,145.5.180.15,100,701,1,2024-05-22 15:40:13,R_8e4ByNZ27bZIG4P,,,,,51.9148,4.5125,anonymous,EN,0.8999999761581421,1,5,5,5,1,2,1,4,The texts are basically redundant and what Westwing does could be summarized in a sentence,1.457,117.775,119.204,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,QID176,0,0,,0,
2024-05-23 10:18:22,2024-05-23 13:36:23,0,82.53.138.122,100,11881,1,2024-05-23 13:36:24,R_82QBjMMg8zLNxx0,,,,,43.8643,10.2476,anonymous,EN,0.8999999761581421,2,,,,,,,,,,,,,,5,3,4,3,4,2,4,,72.712,112.386,114.713,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0.2631578947368421,"QID146,QID166,QID161,QID74,QID176"
