T,score 1,score 2,score 3,score 4,score 5,score 6,score 7,score 8,score 9,score 10
1,4,4,4,4,4,4,4,4,4,4
2,3,3,3,3,3,3,3,3,3,3
3,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4
5,3,3,3,3,3,3,3,3,3,3
6,4,4,4,4,4,4,4,4,4,4
7,3,3,3,3,3,3,3,3,3,3
8,4,4,4,4,4,4,4,4,4,4
9,4,5,5,5,5,4,5,4,4,4
10,3,3,3,3,3,3,3,4,3,3
11,4,3,3,3,3,3,4,4,3,3
12,3,3,3,3,3,3,3,3,3,3
13,4,3,4,4,4,3,4,3,3,4
14,4,4,4,4,4,4,4,4,3,4
15,3,3,3,3,3,3,3,3,3,3
16,3,3,3,3,3,3,3,3,3,3
17,3,3,3,3,3,3,3,3,3,3
18,4,4,4,4,4,4,4,4,4,4
19,4,4,4,4,4,4,4,4,4,4
20,3,3,3,3,3,3,3,3,3,3
21,3,3,3,3,3,3,3,3,3,3
